URL,Type,Status Code,Indexability,In Sitemap,Backlink Rows,Referring Domains,Follow Rows,Suggested Action,Replacement URL,Priority,Rationale
https://coinlineup.com/,homepage,200,Indexable,yes,339,156,147,keep,,Critical,"Strongest URL on the site by backlink concentration; keep as primary brand and authority destination."
http://coinlineup.com/,homepage variant,,Unknown,no,27,23,25,301,https://coinlineup.com/,High,"Legacy homepage variant still has real backlinks; consolidate cleanly into the HTTPS canonical homepage."
https://coinlineup.com/login/,utility,200,Indexable,yes,0,0,0,noindex,,Critical,"Low-value utility URL is indexable and in sitemap; should remain accessible for users but not search."
https://coinlineup.com/my-account/,utility,200,Indexable,yes,0,0,0,noindex,,Critical,"Account utility page should not be part of search inventory."
https://coinlineup.com/bookmarks/,utility,200,Indexable,yes,0,0,0,noindex,,Critical,"User-only page is indexable and creates crawl waste."
https://coinlineup.com/my-follows/,utility,200,Indexable,yes,0,0,0,noindex,,Critical,"User-only page is indexable and included in sitemap coverage."
https://coinlineup.com/uncategorized/,taxonomy,200,Indexable,yes,0,0,0,301,https://coinlineup.com/news/,Critical,"Thin taxonomy page with heavy internal linking should be retired after reassignment of posts."
https://coinlineup.com/sponsored-articles/,commercial archive,200,Indexable,yes,0,0,0,noindex,,High,"Commercial archive should not compete with editorial inventory unless there is a deliberate business reason to index it."
https://coinlineup.com/sponsored-articles/page/2/,commercial archive pagination,200,Indexable,no,0,0,0,noindex,,High,"Paginated commercial archives add low-value index coverage."
https://coinlineup.com/press-release/,commercial archive,200,Indexable,yes,0,0,0,noindex,,High,"Commercial content hub should be separated from editorial search inventory."
https://coinlineup.com/contacts/,trust page,200,Indexable,yes,0,0,0,keep,,Medium,"Valid trust/contact destination; keep indexable but improve internal linking because it appears as an orphan in crawl exports."
https://coinlineup.com/editorial-policy/,trust page,200,Indexable,yes,0,0,0,keep,,Medium,"Strong trust page; keep indexable and link more prominently from footer/about/author paths."
https://coinlineup.com/publish-editorial-standards-fact-checking-policy/,trust page,200,Indexable,yes,0,0,0,keep,,Medium,"Useful trust page if intentionally maintained; keep but simplify naming and internal linking over time."
https://coinlineup.com/cmc-currency-details-advanced-design/,broken destination,404,Non-Indexable,yes,0,0,0,delete,,Critical,"Broken target should be removed from sitemap and internal references; do not keep a dead placeholder destination."
https://coinlineup.com/currencies/RAIN/rain/,currency redirect,301,Non-Indexable,no,0,0,0,301,https://coinlineup.com/currencies/,Critical,"Current redirect target is broken; remap to a valid currency or market destination instead of a dead design page."
https://coinlineup.com/currencies/WBT/whitebit/,currency redirect,301,Non-Indexable,no,0,0,0,301,https://coinlineup.com/currencies/,Critical,"Current redirect target is broken; remap to a valid currency or market destination instead of a dead design page."
https://coinlineup.com/author/jensen-ackles/,author page,200,Non-Indexable,no,0,0,0,keep,,Medium,"Noindex author page is acceptable; keep but reduce low-signal social/profile clutter."
https://coinlineup.com/author/digitalanand18gmail-com/page/314/,author pagination,200,Indexable,no,0,0,0,noindex,,High,"Deep author pagination is leaking into index and lacks clean canonical handling."
https://coinlineup.com/google-quantum-announcement-bitcoin-security/,article,200,Indexable,yes,147,1,0,keep,,High,"Backlink-bearing article; protect during remap and improve only if quality or intent conflicts appear."
https://coinlineup.com/boa-warns-us-tariffs-economy-impact/,article,200,Indexable,yes,70,1,0,keep,,Medium,"Live article with backlinks; do not delete blindly."
https://coinlineup.com/believe-project-eco-update-absent/,article,200,Indexable,yes,56,1,0,improve,,Medium,"Backlinked article should be reviewed for quality and search intent before any consolidation."
https://coinlineup.com/elon-musk-denies-telegram-xai-deal/,article,200,Indexable,yes,49,1,0,keep,,Medium,"Live article with backlinks; keep unless a stronger same-intent canonical exists."
https://coinlineup.com/sec-cftc-joint-crypto-regulation-guidance-effect/,article,200,Indexable,yes,36,4,2,keep,,High,"One of the cleaner editorial targets by referring domain spread; preserve and improve rather than consolidate away."
https://coinlineup.com/german-police-raid-northern-data-facility/,article,200,Indexable,yes,10,8,10,keep,,High,"Strongest follow-link example among sampled articles; protect from deletion and consider editorial refresh."
https://coinlineup.com/shib-burns-increase-weekly-shibburn/,article,520,Non-Indexable,yes,1,1,1,improve,,High,"Live target currently unstable but has a follow backlink; restore availability or redirect to the closest same-intent live article."
https://coinlineup.com/wp-content/uploads/,media directory,403,Non-Indexable,yes,32,3,0,delete,,High,"Directory-style media URL should not appear in sitemap and should not remain a crawl target."
https://coinlineup.com/wp-content/uploads/2025/09/sec-excludes-meme-coins-2023-file.jpeg,media file,520,Non-Indexable,yes,4,3,0,improve,,High,"Backlinked media asset is unstable; either restore the file or replace it cleanly and remove broken sitemap references."
https://coinlineup.com/web3-antivirus-protect-your-wallet-as-crypto-scam-losses-hit-3-1b/,broken article,404,Non-Indexable,no,2,2,0,301,,High,"Broken article still has backlinks; map to the closest same-intent live article rather than leaving as dead loss."
https://coinlineup.com/crypto-news-march-27-2026/,article,200,Indexable,yes,18,5,0,improve,,Medium,"Backlinked roundup page should be reviewed for uniqueness and possibly upgraded into a stronger evergreen/news hub asset."
