section_url,live_status,current_live_target,issue_type,recommended_site_action,checked_at,notes
https://tokentopnews.com/category/altcoins/,301,https://tokentopnews.com/altcoins-gain-during-metals-rally/,wrong_target_category_redirect,"Change redirect target to the intended section hub rather than a single article. Previously expected local target: https://tokentopnews.com/altcoins/.",2026-05-05,"Still unresolved on May 5 live check."
https://tokentopnews.com/category/bitcoin/,301,https://tokentopnews.com/bitcoin-1-292-billion-liquidation/,wrong_target_category_redirect,"Change redirect target to the intended section hub rather than a single article. Previously expected local target: https://tokentopnews.com/bitcoin/.",2026-05-05,"Still unresolved on May 5 live check."
https://tokentopnews.com/altcoins/,301,https://tokentopnews.com/altcoins-gain-during-metals-rally/,broken_section_hub,"Review whether /altcoins/ should remain a real section page or archive. It should not be a silent redirect to a single article if used as a section destination.",2026-05-05,"Blocks clean redirect mapping for older archive URLs."
https://tokentopnews.com/bitcoin/,301,https://tokentopnews.com/bitcoin-1-292-billion-liquidation/,broken_section_hub,"Review whether /bitcoin/ should remain a real section page or archive. It should not be a silent redirect to a single article if used as a section destination.",2026-05-05,"Blocks clean redirect mapping for older archive URLs."
https://tokentopnews.com/defi/,301,https://tokentopnews.com/defi-chainlink-leads-development-may-2025/,broken_section_hub,"Review whether /defi/ should remain a real section page or archive. If DeFi needs a living hub, /trends/defi/ is currently the clean live archive.",2026-05-05,"Current top-level path is not suitable as a redirect destination for old DeFi archive URLs."
https://tokentopnews.com/cardano/,301,https://tokentopnews.com/cardano-100m-ada-conversion-stablecoins/,broken_section_hub,"Review whether /cardano/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/dogecoin/,301,https://tokentopnews.com/dogecoin-16-cent-support-trading-volume/,broken_section_hub,"Review whether /dogecoin/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/ethereum/,301,https://tokentopnews.com/ethereum-1-2-billion-withdrawals/,broken_section_hub,"Review whether /ethereum/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/ripple/,301,https://tokentopnews.com/ripple-and-ethereum-soon-to-be-interoperable/,broken_section_hub,"Review whether /ripple/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/xrp/,301,https://tokentopnews.com/xrp-45-day-high-bullish-signals/,broken_section_hub,"Review whether /xrp/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/solana/,301,https://tokentopnews.com/solana-advances-oem-push-after-200000-sales-at-mwc-2026/,broken_section_hub,"Review whether /solana/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
https://tokentopnews.com/tron/,301,https://tokentopnews.com/tron-104b-stablecoin-surge/,broken_section_hub,"Review whether /tron/ is an intentional public hub path. If yes, it should resolve as a hub/archive, not a single article.",2026-05-05,"Current path exists publicly but 301s to one post."
